"Plate","Well","Sample","Ct","dilution","Adj_Vol"
5,"B10","0821.4Pad.Up5.1",37.4750633239746,1,2.02666666666667
5,"B11","0821.4Pad.Up5.1",36.5143852233887,1,2.02666666666667
5,"B12","0821.4Pad.Up5.1",37.305793762207,1,2.02666666666667
5,"C1","St3",27.9543037414551,NA,NA
5,"C2","St3",27.9669189453125,NA,NA
5,"C3","St3",27.8798789978027,NA,NA
5,"C4","0621.4Pad.Dn.2",30.6007423400879,1,2.02333333333333
5,"C5","0621.4Pad.Dn.2",30.5668678283691,1,2.02333333333333
5,"C6","0621.4Pad.Dn.2",30.6816501617432,1,2.02333333333333
5,"C7","0721.4Pad.Up11.2",NA,1,2.02333333333333
5,"C8","0721.4Pad.Up11.2",NA,1,2.02333333333333
5,"C9","0721.4Pad.Up11.2",NA,1,2.02333333333333
5,"C10","0821.4Pad.Up5.2",36.0126991271973,1,2.02666666666667
5,"C11","0821.4Pad.Up5.2",36.3624954223633,1,2.02666666666667
5,"C12","0821.4Pad.Up5.2",38.2458457946777,1,2.02666666666667
5,"D1","St4",31.7909755706787,NA,NA
5,"D2","St4",31.2894897460938,NA,NA
5,"D3","St4",31.3885765075684,NA,NA
5,"D4","0621.4Pad.Dn.3",30.809591293335,1,2.02333333333333
5,"D5","0621.4Pad.Dn.3",30.8612976074219,1,2.02333333333333
5,"D6","0621.4Pad.Dn.3",30.8243885040283,1,2.02333333333333
5,"D7","0721.4Pad.Up11.3",32.7283477783203,1,2.02333333333333
5,"D8","0721.4Pad.Up11.3",32.6500968933105,1,2.02333333333333
5,"D9","0721.4Pad.Up11.3",32.6632385253906,1,2.02333333333333
5,"D10","0821.4Pad.Up5.3",NA,1,2.02666666666667
5,"D11","0821.4Pad.Up5.3",35.7501182556152,1,2.02666666666667
5,"D12","0821.4Pad.Up5.3",37.6483001708984,1,2.02666666666667
5,"E1","St5",34.9816207885742,NA,NA
5,"E2","St5",35.2023429870605,NA,NA
5,"E3","St5",35.1930046081543,NA,NA
5,"E4","0621.4Pad.Up11.1",34.4374122619629,1,2.00666666666667
5,"E5","0621.4Pad.Up11.1",34.3381118774414,1,2.00666666666667
5,"E6","0621.4Pad.Up11.1",34.0141639709473,1,2.00666666666667
5,"E7","0721.4Pad.Up5.1",35.9333610534668,1,2.01333333333333
5,"E8","0721.4Pad.Up5.1",36.5295562744141,1,2.01333333333333
5,"E9","0721.4Pad.Up5.1",37.2316627502441,1,2.01333333333333
5,"F1","St6",35.9766998291016,NA,NA
5,"F2","St6",35.856746673584,NA,NA
5,"F3","St6",36.1419525146484,NA,NA
5,"F4","0621.4Pad.Up11.2",30.3488082885742,1,2.00666666666667
5,"F5","0621.4Pad.Up11.2",30.4712333679199,1,2.00666666666667
5,"F6","0621.4Pad.Up11.2",30.1856517791748,1,2.00666666666667
5,"F7","0721.4Pad.Up5.3",NA,1,2.01333333333333
5,"F8","0721.4Pad.Up5.3",NA,1,2.01333333333333
5,"F9","0721.4Pad.Up5.3",NA,1,2.01333333333333
5,"F10","0921.4Pad.Dn.2",34.5517883300781,1,2.03666666666667
5,"F11","0921.4Pad.Dn.2",34.4108238220215,1,2.03666666666667
5,"F12","0921.4Pad.Dn.2",34.6441993713379,1,2.03666666666667
5,"G1","St7",37.6543502807617,NA,NA
5,"G2","St7",37.1659278869629,NA,NA
5,"G3","St7",37.467170715332,NA,NA
5,"G7","0821.4Pad.Dn.1",NA,1,2.01
5,"G8","0821.4Pad.Dn.1",NA,1,2.01
5,"G9","0821.4Pad.Dn.1",NA,1,2.01
5,"H1","St8",37.8649787902832,NA,NA
5,"H2","St8",39.6672325134277,NA,NA
5,"H3","St8",38.0600547790527,NA,NA
5,"H4","0721.4Pad.Dn.1",NA,1,2.01
5,"H5","0721.4Pad.Dn.1",38.9576034545898,1,2.01
5,"H6","0721.4Pad.Dn.1",NA,1,2.01
5,"H7","0821.4Pad.Up11.1",34.8363418579102,1,2
5,"H8","0821.4Pad.Up11.1",34.706298828125,1,2
5,"H9","0821.4Pad.Up11.1",34.4310417175293,1,2
9,"A1","St1",20.8665580749512,NA,NA
9,"A2","St1",20.8633689880371,NA,NA
9,"A3","St1",20.887451171875,NA,NA
9,"B1","St2",24.2514343261719,NA,NA
9,"B2","St2",24.1529979705811,NA,NA
9,"B3","St2",24.2009944915771,NA,NA
9,"C1","St3",27.9576301574707,NA,NA
9,"C2","St3",27.7473850250244,NA,NA
9,"C3","St3",27.7747821807861,NA,NA
9,"D1","St4",31.1742191314697,NA,NA
9,"D2","St4",31.2029094696045,NA,NA
9,"D3","St4",31.3875007629395,NA,NA
9,"D4","1121.4Pad.Up5.1",NA,10,1.23333333333333
9,"D5","1121.4Pad.Up5.1",NA,10,1.23333333333333
9,"D6","1121.4Pad.Up5.1",NA,10,1.23333333333333
9,"E1","St5",34.4411964416504,NA,NA
9,"E2","St5",34.9698600769043,NA,NA
9,"E3","St5",35.0966377258301,NA,NA
9,"E4","1121.4Pad.Up5.2",NA,10,1.23333333333333
9,"E6","1121.4Pad.Up5.2",NA,10,1.23333333333333
9,"E7","1121.4Pad.Up5.2",NA,10,1.23333333333333
9,"F1","St6",35.4637832641602,NA,NA
9,"F2","St6",36.3035278320312,NA,NA
9,"F3","St6",35.2601470947266,NA,NA
9,"F4","0921.4Pad.Up11.1",NA,100,2.03333333333333
9,"F5","0921.4Pad.Up11.1",NA,100,2.03333333333333
9,"F6","0921.4Pad.Up11.1",NA,100,2.03333333333333
9,"G1","St7",36.0304870605469,NA,NA
9,"G2","St7",35.9790229797363,NA,NA
9,"G3","St7",35.5360145568848,NA,NA
9,"H1","St8",40.341121673584,NA,NA
9,"H2","St8",37.9620399475098,NA,NA
9,"H3","St8",37.7364540100098,NA,NA
10,"A1","St1",25.7672119140625,NA,NA
10,"A2","St1",23.8007106781006,NA,NA
10,"A3","St1",25.5695877075195,NA,NA
10,"A4","0621.2Brn.Up.1",NA,10,2.02
10,"A5","0621.2Brn.Up.1",NA,10,2.02
10,"A6","0621.2Brn.Up.1",NA,10,2.02
10,"B1","St2",28.9615287780762,NA,NA
10,"B2","St2",29.426383972168,NA,NA
10,"B3","St2",29.4120559692383,NA,NA
10,"B4","0721.2Brn.Up.1",NA,10,2.01666666666667
10,"B5","0721.2Brn.Up.1",NA,10,2.01666666666667
10,"B6","0721.2Brn.Up.1",NA,10,2.01666666666667
10,"C1","St3",33.1020774841309,NA,NA
10,"C2","St3",33.4922485351562,NA,NA
10,"C3","St3",32.9112243652344,NA,NA
10,"C4","0721.2Brn.Up.2",NA,10,2.01666666666667
10,"C5","0721.2Brn.Up.2",NA,10,2.01666666666667
10,"C6","0721.2Brn.Up.2",NA,10,2.01666666666667
10,"D1","St4",37.2247543334961,NA,NA
10,"D2","St4",36.2503242492676,NA,NA
10,"D3","St4",36.8099327087402,NA,NA
10,"D4","0821.2Brn.Up.2",NA,10,2.01
10,"D5","0821.2Brn.Up.2",NA,10,2.01
10,"D6","0821.2Brn.Up.2",NA,10,2.01
10,"E1","St5",NA,NA,NA
10,"E2","St5",39.0366401672363,NA,NA
10,"E3","St5",NA,NA,NA
10,"E4","0621.2Brn.Up.2",NA,100,2.02
10,"E5","0621.2Brn.Up.2",NA,100,2.02
10,"E6","0621.2Brn.Up.2",NA,100,2.02
10,"F1","St6",NA,NA,NA
10,"F2","St6",NA,NA,NA
10,"F3","St6",41.9775810241699,NA,NA
10,"G1","St7",44.3199195861816,NA,NA
10,"G2","St7",NA,NA,NA
10,"G3","St7",39.1868782043457,NA,NA
10,"H1","St8",NA,NA,NA
10,"H2","St8",37.0205688476562,NA,NA
10,"H3","St8",NA,NA,NA
11,"A1","St1",21.3255863189697,NA,NA
11,"A2","St1",21.2641372680664,NA,NA
11,"A3","St1",21.2147941589355,NA,NA
11,"A4","1121.1Prt.Up.1",33.7585067749023,100,2.02
11,"A5","1121.1Prt.Up.1",33.576774597168,100,2.02
11,"A6","1121.1Prt.Up.1",33.5197830200195,100,2.02
11,"A10","St1",22.0546340942383,NA,NA
11,"A11","St1",21.3769283294678,NA,NA
11,"A12","St1",21.4424419403076,NA,NA
11,"B1","St2",24.6071453094482,NA,NA
11,"B2","St2",24.692195892334,NA,NA
11,"B3","St2",24.5570182800293,NA,NA
11,"B4","1121.1Prt.Up.2",34.2031669616699,100,2.02
11,"B5","1121.1Prt.Up.2",33.5454254150391,100,2.02
11,"B6","1121.1Prt.Up.2",33.5375785827637,100,2.02
11,"B7","0321.4Pad.Up5.1",NA,10,2.01
11,"B8","0321.4Pad.Up5.1",NA,10,2.01
11,"B9","0321.4Pad.Up5.1",NA,10,2.01
11,"B10","St2",25.1525535583496,NA,NA
11,"B11","St2",25.3470344543457,NA,NA
11,"B12","St2",25.7109336853027,NA,NA
11,"C1","St3",28.1008529663086,NA,NA
11,"C2","St3",28.0731220245361,NA,NA
11,"C3","St3",28.0457611083984,NA,NA
11,"C4","1221.1Prt.Dn.3",36.2185707092285,100,2.02666666666667
11,"C5","1221.1Prt.Dn.3",36.8251686096191,100,2.02666666666667
11,"C6","1221.1Prt.Dn.3",36.6357688903809,100,2.02666666666667
11,"C7","0621.4Pad.Up11.3",33.6188468933105,10,2.00666666666667
11,"C8","0621.4Pad.Up11.3",34.0865936279297,10,2.00666666666667
11,"C9","0621.4Pad.Up11.3",33.6964797973633,10,2.00666666666667
11,"C10","St3",29.2695140838623,NA,NA
11,"C11","St3",28.929708480835,NA,NA
11,"C12","St3",28.9454154968262,NA,NA
11,"D1","St4",31.7376918792725,NA,NA
11,"D2","St4",31.6313648223877,NA,NA
11,"D3","St4",31.6405296325684,NA,NA
11,"D4","1221.1Prt.Up.1",35.8002166748047,100,2.03
11,"D5","1221.1Prt.Up.1",36.0188674926758,100,2.03
11,"D6","1221.1Prt.Up.1",35.9387016296387,100,2.03
11,"D10","St4",33.0247039794922,NA,NA
11,"D11","St4",32.6032638549805,NA,NA
11,"D12","St4",32.6470794677734,NA,NA
11,"E1","St5",34.8235969543457,NA,NA
11,"E2","St5",35.0071563720703,NA,NA
11,"E3","St5",34.9027862548828,NA,NA
11,"E4","0122.4Pad.Dn.1",NA,10,2.04
11,"E5","0122.4Pad.Dn.1",NA,10,2.04
11,"E6","0122.4Pad.Dn.1",NA,10,2.04
11,"E10","St5",36.4303131103516,NA,NA
11,"E11","St5",36.3327522277832,NA,NA
11,"E12","St5",35.9724273681641,NA,NA
11,"F1","St6",35.720775604248,NA,NA
11,"F2","St6",35.7886123657227,NA,NA
11,"F3","St6",36.5222816467285,NA,NA
11,"F4","0222.4Pad.Dn.3",NA,10,2.00666666666667
11,"F5","0222.4Pad.Dn.3",NA,10,2.00666666666667
11,"F6","0222.4Pad.Dn.3",NA,10,2.00666666666667
11,"F10","St6",37.2712631225586,NA,NA
11,"F11","St6",37.8954238891602,NA,NA
11,"F12","St6",36.9826774597168,NA,NA
11,"G1","St7",36.5666084289551,NA,NA
11,"G2","St7",36.202320098877,NA,NA
11,"G3","St7",38.5803375244141,NA,NA
11,"G4","0222.4Pad.Up11.1",39.1607093811035,10,2.00666666666667
11,"G5","0222.4Pad.Up11.1",NA,10,2.00666666666667
11,"G6","0222.4Pad.Up11.1",NA,10,2.00666666666667
11,"G10","St7",36.2810401916504,NA,NA
11,"G11","St7",36.9565811157227,NA,NA
11,"G12","St7",37.1390342712402,NA,NA
11,"H1","St8",37.9625930786133,NA,NA
11,"H2","St8",38.4793434143066,NA,NA
11,"H3","St8",39.8053092956543,NA,NA
11,"H4","0321.4Pad.Dn.3",NA,10,1.98
11,"H5","0321.4Pad.Dn.3",NA,10,1.98
11,"H6","0321.4Pad.Dn.3",NA,10,1.98
11,"H10","St8",39.5673370361328,NA,NA
11,"H11","St8",38.9634399414062,NA,NA
11,"H12","St8",38.7019653320312,NA,NA
