# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=176807474
# chain_id=1
# iter=2000
# warmup=500
# save_warmup=1
# thin=1
# refresh=10
# stepsize=0.01
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.7
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=12
# sampler_t=NUTS(diag_e)
# sample_file=temp/tmp_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_std_curve_0,beta_std_curve_1,sigma_std_curve,envir_concentration.1,envir_concentration.2,envir_concentration.3,envir_concentration.4,envir_concentration.5,envir_concentration.6,envir_concentration.7,envir_concentration.8,envir_concentration.9,envir_concentration.10,envir_concentration.11,envir_concentration.12,envir_concentration.13,envir_concentration.14,envir_concentration.15,envir_concentration.16,envir_concentration.17,envir_concentration.18,envir_concentration.19,envir_concentration.20,envir_concentration.21,envir_concentration.22,envir_concentration.23,envir_concentration.24,envir_concentration.25,envir_concentration.26,envir_concentration.27,envir_concentration.28,envir_concentration.29,envir_concentration.30,envir_concentration.31,envir_concentration.32,envir_concentration.33,envir_concentration.34,envir_concentration.35,envir_concentration.36,envir_concentration.37,envir_concentration.38,envir_concentration.39,envir_concentration.40,envir_concentration.41,envir_concentration.42,envir_concentration.43,envir_concentration.44,envir_concentration.45,envir_concentration.46,envir_concentration.47,envir_concentration.48,envir_concentration.49,envir_concentration.50,envir_concentration.51,envir_concentration.52,envir_concentration.53,envir_concentration.54,envir_concentration.55,envir_concentration.56,sigma_envir_qPCR,mu_std_curve.1,mu_std_curve.2,mu_std_curve.3,mu_std_curve.4,mu_std_curve.5,mu_qPCR_envir.1,mu_qPCR_envir.2,mu_qPCR_envir.3,mu_qPCR_envir.4,mu_qPCR_envir.5,mu_qPCR_envir.6,mu_qPCR_envir.7,mu_qPCR_envir.8,mu_qPCR_envir.9,mu_qPCR_envir.10,mu_qPCR_envir.11,mu_qPCR_envir.12,mu_qPCR_envir.13,mu_qPCR_envir.14,mu_qPCR_envir.15,mu_qPCR_envir.16,mu_qPCR_envir.17,mu_qPCR_envir.18,mu_qPCR_envir.19,mu_qPCR_envir.20,mu_qPCR_envir.21,mu_qPCR_envir.22,mu_qPCR_envir.23,mu_qPCR_envir.24,mu_qPCR_envir.25,mu_qPCR_envir.26,mu_qPCR_envir.27,mu_qPCR_envir.28,mu_qPCR_envir.29,mu_qPCR_envir.30,mu_qPCR_envir.31,mu_qPCR_envir.32,mu_qPCR_envir.33,mu_qPCR_envir.34,mu_qPCR_envir.35,mu_qPCR_envir.36,mu_qPCR_envir.37,mu_qPCR_envir.38,mu_qPCR_envir.39,mu_qPCR_envir.40,mu_qPCR_envir.41,mu_qPCR_envir.42,mu_qPCR_envir.43,mu_qPCR_envir.44,mu_qPCR_envir.45,mu_qPCR_envir.46,mu_qPCR_envir.47,mu_qPCR_envir.48,mu_qPCR_envir.49,mu_qPCR_envir.50,mu_qPCR_envir.51,mu_qPCR_envir.52,mu_qPCR_envir.53,mu_qPCR_envir.54,mu_qPCR_envir.55,mu_qPCR_envir.56
-108842,1,0.00125,1,1,0,542234,2.0971,-3.65606,0.4064,-0.0301804,1.82606,-0.794698,-1.97729,-1.07581,-1.89562,-0.476917,1.16103,0.449704,1.13373,-1.04685,1.37364,-1.29945,0.33243,0.939931,-1.20648,0.385102,0.485346,-0.787678,1.24468,-1.72359,-0.966388,-1.15455,1.16983,-0.623983,-1.73431,-1.30348,-0.27045,-0.599399,1.60614,1.74894,-1.49623,1.95366,1.5423,0.147122,1.34328,-0.0116808,-1.49195,1.63687,-0.118198,-1.5603,0.902556,-1.56523,-1.82195,-1.92476,1.78924,1.76065,-0.199109,-0.457867,1.63332,0.764771,-1.84136,-1.146,-0.00478508,0.162174,1.20367,1.40374,-16.1832,-12.5271,-8.87108,-5.21502,-1.55896,2.20744,-4.57908,5.00257,9.3262,6.03033,9.02761,3.84074,-2.14768,0.452958,-2.04786,5.92443,-2.92501,6.84798,0.881718,-1.33934,6.50808,0.689147,0.322649,4.9769,-2.45354,8.39865,5.63028,6.3182,-2.17985,4.37842,8.43783,6.86269,3.08588,4.28854,-3.77505,-4.29714,7.56739,-5.0456,-3.54163,1.55922,-2.81403,2.13981,7.55175,-3.88741,2.52924,7.80166,-1.2027,7.81969,8.75827,9.13414,-4.44447,-4.33994,2.82506,3.77109,-3.8744,-0.698947,8.82922,6.28697,2.1146,1.50418,-2.30357
-108842,0,0.172539,0,1,1,108869,2.0971,-3.65606,0.4064,-0.0301804,1.82606,-0.794698,-1.97729,-1.07581,-1.89562,-0.476917,1.16103,0.449704,1.13373,-1.04685,1.37364,-1.29945,0.33243,0.939931,-1.20648,0.385102,0.485346,-0.787678,1.24468,-1.72359,-0.966388,-1.15455,1.16983,-0.623983,-1.73431,-1.30348,-0.27045,-0.599399,1.60614,1.74894,-1.49623,1.95366,1.5423,0.147122,1.34328,-0.0116808,-1.49195,1.63687,-0.118198,-1.5603,0.902556,-1.56523,-1.82195,-1.92476,1.78924,1.76065,-0.199109,-0.457867,1.63332,0.764771,-1.84136,-1.146,-0.00478508,0.162174,1.20367,1.40374,-16.1832,-12.5271,-8.87108,-5.21502,-1.55896,2.20744,-4.57908,5.00257,9.3262,6.03033,9.02761,3.84074,-2.14768,0.452958,-2.04786,5.92443,-2.92501,6.84798,0.881718,-1.33934,6.50808,0.689147,0.322649,4.9769,-2.45354,8.39865,5.63028,6.3182,-2.17985,4.37842,8.43783,6.86269,3.08588,4.28854,-3.77505,-4.29714,7.56739,-5.0456,-3.54163,1.55922,-2.81403,2.13981,7.55175,-3.88741,2.52924,7.80166,-1.2027,7.81969,8.75827,9.13414,-4.44447,-4.33994,2.82506,3.77109,-3.8744,-0.698947,8.82922,6.28697,2.1146,1.50418,-2.30357
-108842,0,0.0389532,0,1,1,108880,2.0971,-3.65606,0.4064,-0.0301804,1.82606,-0.794698,-1.97729,-1.07581,-1.89562,-0.476917,1.16103,0.449704,1.13373,-1.04685,1.37364,-1.29945,0.33243,0.939931,-1.20648,0.385102,0.485346,-0.787678,1.24468,-1.72359,-0.966388,-1.15455,1.16983,-0.623983,-1.73431,-1.30348,-0.27045,-0.599399,1.60614,1.74894,-1.49623,1.95366,1.5423,0.147122,1.34328,-0.0116808,-1.49195,1.63687,-0.118198,-1.5603,0.902556,-1.56523,-1.82195,-1.92476,1.78924,1.76065,-0.199109,-0.457867,1.63332,0.764771,-1.84136,-1.146,-0.00478508,0.162174,1.20367,1.40374,-16.1832,-12.5271,-8.87108,-5.21502,-1.55896,2.20744,-4.57908,5.00257,9.3262,6.03033,9.02761,3.84074,-2.14768,0.452958,-2.04786,5.92443,-2.92501,6.84798,0.881718,-1.33934,6.50808,0.689147,0.322649,4.9769,-2.45354,8.39865,5.63028,6.3182,-2.17985,4.37842,8.43783,6.86269,3.08588,4.28854,-3.77505,-4.29714,7.56739,-5.0456,-3.54163,1.55922,-2.81403,2.13981,7.55175,-3.88741,2.52924,7.80166,-1.2027,7.81969,8.75827,9.13414,-4.44447,-4.33994,2.82506,3.77109,-3.8744,-0.698947,8.82922,6.28697,2.1146,1.50418,-2.30357
-108842,0,0.0053335,0,1,1,108876,2.0971,-3.65606,0.4064,-0.0301804,1.82606,-0.794698,-1.97729,-1.07581,-1.89562,-0.476917,1.16103,0.449704,1.13373,-1.04685,1.37364,-1.29945,0.33243,0.939931,-1.20648,0.385102,0.485346,-0.787678,1.24468,-1.72359,-0.966388,-1.15455,1.16983,-0.623983,-1.73431,-1.30348,-0.27045,-0.599399,1.60614,1.74894,-1.49623,1.95366,1.5423,0.147122,1.34328,-0.0116808,-1.49195,1.63687,-0.118198,-1.5603,0.902556,-1.56523,-1.82195,-1.92476,1.78924,1.76065,-0.199109,-0.457867,1.63332,0.764771,-1.84136,-1.146,-0.00478508,0.162174,1.20367,1.40374,-16.1832,-12.5271,-8.87108,-5.21502,-1.55896,2.20744,-4.57908,5.00257,9.3262,6.03033,9.02761,3.84074,-2.14768,0.452958,-2.04786,5.92443,-2.92501,6.84798,0.881718,-1.33934,6.50808,0.689147,0.322649,4.9769,-2.45354,8.39865,5.63028,6.3182,-2.17985,4.37842,8.43783,6.86269,3.08588,4.28854,-3.77505,-4.29714,7.56739,-5.0456,-3.54163,1.55922,-2.81403,2.13981,7.55175,-3.88741,2.52924,7.80166,-1.2027,7.81969,8.75827,9.13414,-4.44447,-4.33994,2.82506,3.77109,-3.8744,-0.698947,8.82922,6.28697,2.1146,1.50418,-2.30357
-91894.5,1,0.000584098,2,3,0,108531,2.11438,-3.55752,0.447571,-0.0323393,1.82676,-0.793514,-1.97784,-1.07739,-1.89467,-0.475635,1.16159,0.451626,1.13221,-1.04956,1.37415,-1.29885,0.330836,0.938569,-1.2062,0.38672,0.485328,-0.788325,1.24347,-1.72248,-0.9678,-1.15399,1.1696,-0.623148,-1.73452,-1.302,-0.269874,-0.598112,1.60391,1.74935,-1.49979,1.95254,1.54228,0.14806,1.34355,-0.0117245,-1.49033,1.63714,-0.115714,-1.56163,0.902673,-1.56663,-1.82288,-1.92433,1.79157,1.76101,-0.199619,-0.456473,1.63229,0.764397,-1.84244,-1.14876,-0.00457384,0.164266,1.20373,1.47073,-15.6732,-12.1157,-8.55818,-5.00066,-1.44314,2.22942,-4.38435,4.93732,9.15057,5.94722,8.85469,3.80646,-2.01799,0.507707,-1.91348,5.84822,-2.77419,6.73507,0.937421,-1.2246,6.40545,0.738614,0.387814,4.91886,-2.30929,8.24214,5.55734,6.21972,-2.04648,4.33124,8.28496,6.74626,3.07446,4.24217,-3.59156,-4.10896,7.4499,-4.83181,-3.37232,1.58765,-2.66534,2.15609,7.41626,-3.70978,2.52603,7.66991,-1.0969,7.68769,8.59931,8.96022,-4.25915,-4.15045,2.82452,3.73829,-3.69254,-0.60498,8.66888,6.2011,2.13065,1.53,-2.16792
-55606.3,1,0.00114229,2,3,0,90190.4,2.17181,-3.29281,0.597105,-0.0329801,1.82946,-0.795378,-1.97856,-1.08066,-1.89564,-0.477661,1.16295,0.452721,1.1311,-1.05116,1.377,-1.29819,0.328729,0.939223,-1.20642,0.386898,0.48827,-0.787264,1.2459,-1.72463,-0.968558,-1.15359,1.1669,-0.626901,-1.73642,-1.29934,-0.270361,-0.597289,1.60579,1.75188,-1.50112,1.95129,1.54042,0.144745,1.34288,-0.0140909,-1.48757,1.63844,-0.117805,-1.55965,0.900316,-1.56438,-1.82249,-1.92224,1.79139,1.76119,-0.199971,-0.458681,1.6285,0.761431,-1.84309,-1.14873,-0.00226726,0.163213,1.20086,1.72173,-14.2922,-10.9994,-7.70661,-4.4138,-1.121,2.28041,-3.85225,4.79084,8.68682,5.7302,8.4138,3.74466,-1.65755,0.68109,-1.55267,5.63308,-2.36239,6.4465,1.08937,-0.92087,6.14431,0.897832,0.564034,4.76412,-1.93071,7.85069,5.36109,5.97038,-1.67055,4.23608,7.88951,6.45029,3.06206,4.13857,-3.11574,-3.5968,7.11472,-4.25341,-2.90049,1.6952,-2.25003,2.21821,7.07011,-3.22325,2.55972,7.30745,-0.792756,7.32302,8.17291,8.50137,-3.72691,-3.62743,2.83028,3.68216,-3.19053,-0.335433,8.24077,5.95436,2.17928,1.63438,-1.78239
-16339.8,1,0.00253688,3,7,0,52508.5,2.35354,-2.77503,1.20697,-0.0301192,1.83815,-0.802029,-1.98415,-1.08861,-1.89184,-0.479043,1.15556,0.458915,1.12267,-1.05471,1.37616,-1.29045,0.332829,0.940536,-1.21162,0.386416,0.485889,-0.785897,1.24756,-1.72263,-0.976095,-1.16046,1.16571,-0.628044,-1.73464,-1.30114,-0.273999,-0.60144,1.59616,1.74474,-1.4963,1.9517,1.53372,0.139084,1.33552,-0.00527699,-1.48957,1.63777,-0.124333,-1.55967,0.895992,-1.56098,-1.82668,-1.92035,1.79084,1.7591,-0.192318,-0.45166,1.63149,0.760486,-1.83973,-1.14624,-0.000253481,0.161106,1.19994,2.7837,-11.5216,-8.74658,-5.97155,-3.19652,-0.421492,2.43712,-2.74739,4.57919,7.85962,5.37447,7.60344,3.68289,-0.853183,1.08003,-0.76191,5.2804,-1.46535,5.93457,1.42993,-0.256478,5.71582,1.28122,1.00518,4.53442,-1.10848,7.13388,5.06223,5.57384,-0.881343,4.09638,7.16721,5.96424,3.11389,4.02255,-2.07586,-2.48818,6.50582,-3.06248,-1.90258,1.96757,-1.35256,2.36818,6.48713,-2.19131,2.69857,6.68165,-0.132866,6.68529,7.42262,7.68257,-2.61609,-2.52801,2.88722,3.60691,-2.1739,0.243166,7.45884,5.5344,2.35424,1.90646,-0.97632
-9493.7,1,0.0060726,3,15,0,15007.3,2.43594,-2.61037,1.64605,-0.038581,1.82821,-0.799858,-1.97813,-1.09243,-1.90355,-0.482774,1.14572,0.457364,1.11218,-1.05544,1.36773,-1.28499,0.325907,0.930473,-1.20266,0.387857,0.481828,-0.783323,1.25313,-1.73107,-0.976224,-1.17002,1.15784,-0.633405,-1.73849,-1.29911,-0.286694,-0.605476,1.60049,1.72944,-1.48867,1.95752,1.53877,0.137177,1.33551,-0.00732845,-1.49304,1.63554,-0.135948,-1.55918,0.906498,-1.56002,-1.82559,-1.92673,1.80249,1.76459,-0.19085,-0.451386,1.62939,0.758632,-1.8383,-1.14096,-0.00202742,0.152779,1.20103,3.61993,-10.6159,-8.00554,-5.39517,-2.7848,-0.174428,2.53665,-2.33637,4.52387,7.5996,5.28759,7.40492,3.69616,-0.554814,1.24205,-0.467271,5.19105,-1.13434,5.79024,1.58521,0.00706253,5.57534,1.42349,1.17819,4.48071,-0.83518,6.95467,4.98425,5.49012,-0.586444,4.08937,6.97405,5.82712,3.18432,4.01646,-1.74192,-2.07853,6.32194,-2.67392,-1.58082,2.07786,-1.05024,2.45507,6.33334,-1.83343,2.79082,6.50599,0.0696465,6.50818,7.20141,7.46543,-2.26922,-2.17029,2.93413,3.61423,-1.81736,0.455632,7.23459,5.41428,2.44124,2.03713,-0.699196
-2332.84,1,0.0151735,2,3,0,7652.06,2.77858,-2.20874,4.5553,-0.0250124,1.85283,-0.805871,-1.94606,-1.07302,-1.90903,-0.477629,1.11952,0.43966,1.10693,-1.04062,1.36977,-1.30529,0.336255,0.92052,-1.18953,0.384825,0.510591,-0.773135,1.23153,-1.74118,-0.991121,-1.16262,1.1333,-0.628526,-1.71699,-1.3186,-0.27124,-0.608439,1.57521,1.73593,-1.47343,1.95194,1.52506,0.13472,1.31222,-0.00700846,-1.51895,1.62592,-0.116017,-1.54499,0.902693,-1.55138,-1.84627,-1.9211,1.78639,1.75389,-0.18603,-0.436781,1.61465,0.767236,-1.86611,-1.13352,-0.00486138,0.155823,1.21657,9.09668,-8.26511,-6.05637,-3.84763,-1.6389,0.569841,2.83382,-1.31383,4.55853,7.0769,5.14859,6.99512,3.83354,0.305847,1.80749,0.333657,5.07704,-0.246893,5.66161,2.03588,0.745392,5.40593,1.9286,1.65082,4.48623,0.0584607,6.62438,4.9677,5.34649,0.275421,4.16683,6.57097,5.69101,3.37768,4.12246,-0.700653,-1.05564,6.03299,-1.53275,-0.589885,2.48102,-0.11978,2.79406,6.13354,-0.812645,3.03483,6.19106,0.784767,6.20517,6.8565,7.02178,-1.16709,-1.09531,3.18947,3.74331,-0.787761,1.08396,6.90033,5.28223,2.78932,2.43441,0.0914927
-1092.73,1,0.038776,3,7,0,1929.11,42.9488,-1.31395,33.8013,-0.173535,1.87351,-0.830221,-1.97613,-1.23646,-1.59157,-0.307962,1.1555,0.465507,1.27045,-1.01073,1.34392,-1.46014,0.236469,0.844467,-1.23317,0.046518,0.499603,-0.69328,1.37104,-1.84451,-1.17573,-1.2326,1.33866,-0.891692,-1.9374,-1.28721,-0.139348,-0.679273,1.7102,1.52782,-1.60446,2.16635,1.61031,0.223553,1.19128,0.0648468,-1.37389,1.62476,-0.350691,-1.64786,0.741102,-1.36313,-1.69769,-2.02899,1.76535,1.50487,-0.300874,-0.4023,1.35678,0.65219,-1.86353,-1.07397,-0.0152884,0.311631,1.32429,20.541,36.379,37.693,39.0069,40.3209,41.6348,43.1768,40.4871,44.0396,45.5453,44.5734,45.04,43.3534,41.4305,42.3371,41.2794,44.2768,41.1829,44.8673,42.638,41.8392,44.5691,42.8876,42.2923,43.8597,41.1473,45.3723,44.4936,44.5683,41.1898,44.1204,45.4944,44.6401,43.1318,43.8413,40.7016,40.9413,45.0569,40.1023,40.8329,42.655,41.3835,42.8635,44.754,40.8139,43.4095,45.114,41.975,44.7398,45.1794,45.6147,40.6292,40.9714,43.3441,43.4774,41.166,42.0918,45.3973,44.3599,42.9688,42.5393,41.2087
