# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=176807474
# chain_id=3
# iter=2000
# warmup=500
# save_warmup=1
# thin=1
# refresh=10
# stepsize=0.01
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.7
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=12
# sampler_t=NUTS(diag_e)
# sample_file=temp/tmp_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_std_curve_0,beta_std_curve_1,sigma_std_curve,envir_concentration.1,envir_concentration.2,envir_concentration.3,envir_concentration.4,envir_concentration.5,envir_concentration.6,envir_concentration.7,envir_concentration.8,envir_concentration.9,envir_concentration.10,envir_concentration.11,envir_concentration.12,envir_concentration.13,envir_concentration.14,envir_concentration.15,envir_concentration.16,envir_concentration.17,envir_concentration.18,envir_concentration.19,envir_concentration.20,envir_concentration.21,envir_concentration.22,envir_concentration.23,envir_concentration.24,envir_concentration.25,envir_concentration.26,envir_concentration.27,envir_concentration.28,envir_concentration.29,envir_concentration.30,envir_concentration.31,envir_concentration.32,envir_concentration.33,envir_concentration.34,envir_concentration.35,envir_concentration.36,envir_concentration.37,envir_concentration.38,envir_concentration.39,envir_concentration.40,envir_concentration.41,envir_concentration.42,envir_concentration.43,envir_concentration.44,envir_concentration.45,envir_concentration.46,envir_concentration.47,envir_concentration.48,envir_concentration.49,envir_concentration.50,envir_concentration.51,envir_concentration.52,envir_concentration.53,envir_concentration.54,envir_concentration.55,envir_concentration.56,sigma_envir_qPCR,mu_std_curve.1,mu_std_curve.2,mu_std_curve.3,mu_std_curve.4,mu_std_curve.5,mu_qPCR_envir.1,mu_qPCR_envir.2,mu_qPCR_envir.3,mu_qPCR_envir.4,mu_qPCR_envir.5,mu_qPCR_envir.6,mu_qPCR_envir.7,mu_qPCR_envir.8,mu_qPCR_envir.9,mu_qPCR_envir.10,mu_qPCR_envir.11,mu_qPCR_envir.12,mu_qPCR_envir.13,mu_qPCR_envir.14,mu_qPCR_envir.15,mu_qPCR_envir.16,mu_qPCR_envir.17,mu_qPCR_envir.18,mu_qPCR_envir.19,mu_qPCR_envir.20,mu_qPCR_envir.21,mu_qPCR_envir.22,mu_qPCR_envir.23,mu_qPCR_envir.24,mu_qPCR_envir.25,mu_qPCR_envir.26,mu_qPCR_envir.27,mu_qPCR_envir.28,mu_qPCR_envir.29,mu_qPCR_envir.30,mu_qPCR_envir.31,mu_qPCR_envir.32,mu_qPCR_envir.33,mu_qPCR_envir.34,mu_qPCR_envir.35,mu_qPCR_envir.36,mu_qPCR_envir.37,mu_qPCR_envir.38,mu_qPCR_envir.39,mu_qPCR_envir.40,mu_qPCR_envir.41,mu_qPCR_envir.42,mu_qPCR_envir.43,mu_qPCR_envir.44,mu_qPCR_envir.45,mu_qPCR_envir.46,mu_qPCR_envir.47,mu_qPCR_envir.48,mu_qPCR_envir.49,mu_qPCR_envir.50,mu_qPCR_envir.51,mu_qPCR_envir.52,mu_qPCR_envir.53,mu_qPCR_envir.54,mu_qPCR_envir.55,mu_qPCR_envir.56
-16757.9,0,0.02,0,1,1,16785.3,0.597942,-2.98442,1.29958,0.854737,1.29479,1.42678,-0.73201,-1.29372,1.63749,0.928243,-1.1962,0.564843,1.06327,0.244801,-0.417845,-0.890516,1.6308,0.856802,1.7034,-0.0878546,1.11581,1.91497,1.1944,-0.82872,-1.97456,-1.74157,0.88056,0.719149,0.854694,-0.701652,-0.899045,-1.58637,-1.43348,1.64376,1.50494,-0.715424,0.183814,-1.09693,1.34902,-0.81622,-1.77981,-0.0528928,-1.71222,-1.27601,-1.1071,1.26167,-1.31323,1.87427,0.673026,-1.23298,-1.99764,1.38083,-1.3646,-0.174508,1.87878,-0.405978,1.41046,-0.344458,-1.00611,2.8491,-14.3241,-11.3397,-8.35531,-5.37089,-2.38647,-1.95295,-3.26625,-3.66016,2.78256,4.45894,-4.28901,-2.17232,4.16789,-1.08778,-2.57531,-0.132646,1.84497,3.25561,-4.26904,-1.95911,-4.48571,0.860137,-2.73209,-5.11711,-2.96664,3.07119,6.49085,5.79551,-2.03001,-1.5483,-1.95282,2.69196,3.28107,5.33234,4.87604,-4.30773,-3.89343,2.73306,0.0493648,3.87164,-3.42811,3.03388,5.90963,0.755796,5.70792,4.40608,3.90199,-3.16741,4.51715,-4.99567,-1.41065,4.27768,6.55972,-3.52303,4.67048,1.11875,-5.00911,1.80955,-3.61145,1.62595,3.60058
-16757.9,0,0.0280067,0,1,1,16788.1,0.597942,-2.98442,1.29958,0.854737,1.29479,1.42678,-0.73201,-1.29372,1.63749,0.928243,-1.1962,0.564843,1.06327,0.244801,-0.417845,-0.890516,1.6308,0.856802,1.7034,-0.0878546,1.11581,1.91497,1.1944,-0.82872,-1.97456,-1.74157,0.88056,0.719149,0.854694,-0.701652,-0.899045,-1.58637,-1.43348,1.64376,1.50494,-0.715424,0.183814,-1.09693,1.34902,-0.81622,-1.77981,-0.0528928,-1.71222,-1.27601,-1.1071,1.26167,-1.31323,1.87427,0.673026,-1.23298,-1.99764,1.38083,-1.3646,-0.174508,1.87878,-0.405978,1.41046,-0.344458,-1.00611,2.8491,-14.3241,-11.3397,-8.35531,-5.37089,-2.38647,-1.95295,-3.26625,-3.66016,2.78256,4.45894,-4.28901,-2.17232,4.16789,-1.08778,-2.57531,-0.132646,1.84497,3.25561,-4.26904,-1.95911,-4.48571,0.860137,-2.73209,-5.11711,-2.96664,3.07119,6.49085,5.79551,-2.03001,-1.5483,-1.95282,2.69196,3.28107,5.33234,4.87604,-4.30773,-3.89343,2.73306,0.0493648,3.87164,-3.42811,3.03388,5.90963,0.755796,5.70792,4.40608,3.90199,-3.16741,4.51715,-4.99567,-1.41065,4.27768,6.55972,-3.52303,4.67048,1.11875,-5.00911,1.80955,-3.61145,1.62595,3.60058
-8317.08,1,0.00368894,2,3,0,16267.1,0.596259,-2.74359,1.92747,0.861577,1.29134,1.42075,-0.726262,-1.29838,1.63403,0.935006,-1.19704,0.565969,1.05796,0.246451,-0.416896,-0.903415,1.61654,0.852994,1.70056,-0.0835152,1.1148,1.92035,1.19168,-0.825312,-1.97366,-1.74923,0.878459,0.724204,0.856536,-0.70921,-0.909546,-1.57943,-1.43777,1.63479,1.49804,-0.725067,0.196773,-1.11268,1.35193,-0.828343,-1.77933,-0.0606035,-1.72414,-1.2714,-1.11,1.25294,-1.31154,1.87173,0.668584,-1.23294,-2.01559,1.39113,-1.37216,-0.172474,1.87887,-0.403595,1.4122,-0.348379,-1.02729,4.09876,-13.1217,-10.3781,-7.63451,-4.89092,-2.14733,-1.76755,-2.94665,-3.3017,2.58882,4.15849,-3.88684,-1.96901,3.88044,-0.956527,-2.30635,-0.079901,1.74005,3.07486,-3.83885,-1.74401,-4.06939,0.825391,-2.46229,-4.67239,-2.67322,2.86058,6.01117,5.39542,-1.81387,-1.39066,-1.75372,2.54204,3.09168,4.92956,4.5409,-3.88894,-3.51376,2.58554,0.0563963,3.64898,-3.11288,2.86889,5.47801,0.76253,5.32659,4.08446,3.64165,-2.84129,4.1946,-4.539,-1.23806,3.97893,6.12621,-3.22043,4.36092,1.06946,-4.55859,1.70356,-3.27824,1.55207,3.41472
-4584.12,1,0.0053335,2,3,0,8129.06,0.621149,-2.59031,2.78833,0.861624,1.28595,1.43514,-0.723765,-1.28739,1.6307,0.921217,-1.19743,0.577081,1.05131,0.243953,-0.400147,-0.905269,1.62229,0.83939,1.68867,-0.0844088,1.12159,1.93577,1.18059,-0.820061,-1.98165,-1.76841,0.86778,0.704363,0.855004,-0.673489,-0.902882,-1.55818,-1.42493,1.63982,1.51169,-0.737529,0.190205,-1.12862,1.37032,-0.844197,-1.77775,-0.0491385,-1.73694,-1.28249,-1.11323,1.25712,-1.31625,1.87805,0.659714,-1.22811,-2.01568,1.40094,-1.39189,-0.171613,1.86815,-0.415185,1.41986,-0.342507,-1.04675,5.8893,-12.3304,-9.7401,-7.14979,-4.55948,-1.96916,-1.61073,-2.70986,-3.09632,2.49593,3.95589,-3.60287,-1.76509,3.72288,-0.873671,-2.10207,-0.0107654,1.65766,2.96608,-3.58108,-1.55313,-3.75304,0.839794,-2.28411,-4.39311,-2.43694,2.74536,5.75425,5.20188,-1.62667,-1.20337,-1.59358,2.3657,2.9599,4.65732,4.31215,-3.62651,-3.2946,2.53158,0.128458,3.54462,-2.9284,2.80788,5.22608,0.748433,5.12037,3.94321,3.50477,-2.63519,4.03064,-4.24359,-1.08772,3.80234,5.84239,-3.00772,4.22657,1.06568,-4.21795,1.69661,-3.05673,1.50835,3.33256
-2327.61,1,0.0101701,3,15,0,4437.3,0.655672,-2.26611,5.00839,0.879762,1.28578,1.44764,-0.686463,-1.26387,1.64653,0.889849,-1.18384,0.601845,1.0807,0.214693,-0.430934,-0.906946,1.66525,0.857455,1.68966,-0.115647,1.14062,1.89258,1.16699,-0.80712,-1.99769,-1.78162,0.858826,0.713334,0.858347,-0.656314,-0.905879,-1.57008,-1.4316,1.63264,1.5555,-0.717462,0.230052,-1.14043,1.38872,-0.825111,-1.78664,-0.0553094,-1.72507,-1.28235,-1.10117,1.25323,-1.30786,1.86905,0.689944,-1.24206,-2.05824,1.40208,-1.44319,-0.157452,1.87228,-0.414994,1.40515,-0.326652,-1.02785,10.6028,-10.6749,-8.40878,-6.14266,-3.87655,-1.61044,-1.33797,-2.25805,-2.62485,2.21128,3.51973,-3.07554,-1.36082,3.33838,-0.708176,-1.79331,0.169155,1.63222,2.71091,-3.11797,-1.28742,-3.17328,0.917741,-1.9291,-3.63312,-1.98887,2.4847,5.18265,4.69303,-1.29052,-0.960821,-1.28944,2.14295,2.7085,4.21365,3.89985,-3.04408,-2.86926,2.28152,0.134349,3.24001,-2.49131,2.52547,4.70441,0.78101,4.56487,3.56162,3.15104,-2.18429,3.61943,-3.5798,-0.907819,3.47033,5.31988,-2.5216,3.92609,1.01248,-3.58711,1.59609,-2.52856,1.3959,2.9849
-1788.62,1,0.0225212,3,7,0,2293.69,0.764707,-1.97115,10.0564,0.841449,1.35765,1.40174,-0.716661,-1.2804,1.66286,0.862957,-1.22266,0.525311,0.986279,0.302867,-0.432114,-0.900732,1.71314,0.845201,1.59394,-0.173248,1.19296,1.89229,1.11765,-0.893639,-2.07273,-1.74949,0.867848,0.750771,0.882519,-0.738124,-0.917323,-1.57022,-1.44415,1.56265,1.50964,-0.708804,0.232633,-1.13599,1.38714,-0.840308,-1.81765,-0.062979,-1.66496,-1.31675,-1.13471,1.18254,-1.25995,1.80287,0.731331,-1.18657,-2.02123,1.36569,-1.44283,-0.244123,1.83892,-0.394597,1.41001,-0.324921,-1.00963,19.7878,-9.09104,-7.11989,-5.14874,-3.17759,-1.20644,-0.893917,-1.91142,-1.99834,2.17735,3.28858,-2.51305,-0.936312,3.17475,-0.27076,-1.1794,0.16771,1.61647,2.54018,-2.61214,-0.901312,-2.37719,1.1062,-1.5868,-2.96528,-1.43836,2.5262,4.85037,4.21322,-0.945953,-0.715177,-0.97487,2.21966,2.57289,3.85985,3.61134,-2.3155,-2.21101,2.16187,0.306151,3.00392,-1.96954,2.42108,4.34757,0.888848,4.0466,3.36022,3.00138,-1.56626,3.24826,-2.78902,-0.676856,3.10362,4.74886,-1.92728,3.60874,1.24591,-2.86009,1.54252,-2.01463,1.40517,2.75484
-1766.93,0.515112,0.0542063,2,7,1,1806.4,0.870917,-2.00912,12.3085,0.833863,1.33997,1.32372,-0.738759,-1.27922,1.61462,0.877351,-1.19819,0.484955,1.00603,0.338856,-0.388224,-0.908568,1.73738,0.887091,1.61887,-0.136276,1.25986,1.98707,1.07661,-0.834711,-2.11779,-1.74814,0.87253,0.732706,0.846003,-0.814004,-0.901673,-1.5309,-1.47953,1.53587,1.54178,-0.662035,0.299822,-1.13073,1.39534,-0.847946,-1.91919,-0.121353,-1.69316,-1.32235,-1.18062,1.27941,-1.30782,1.75446,0.749219,-1.21382,-2.03962,1.32916,-1.4259,-0.222026,1.75711,-0.413152,1.41022,-0.234143,-1.08496,19.7194,-9.17469,-7.16557,-5.15645,-3.14733,-1.1382,-0.804414,-1.82124,-1.78859,2.35517,3.44103,-2.37304,-0.891788,3.27824,-0.103415,-1.15032,0.190114,1.65091,2.69634,-2.61969,-0.911357,-2.38159,1.14471,-1.66029,-3.12134,-1.29213,2.54795,5.12582,4.38314,-0.882102,-0.601178,-0.828805,2.50635,2.68249,3.94669,3.84348,-2.21483,-2.22671,2.20103,0.268539,3.14269,-1.9325,2.57454,4.7268,1.11473,4.27267,3.52767,3.24293,-1.69958,3.49849,-2.654,-0.634356,3.30963,4.96877,-1.79953,3.73572,1.317,-2.65933,1.70099,-1.96238,1.34134,3.05073
-964.168,0.678585,0.0301791,4,15,0,1169.97,60.2197,-1.62613,13.7782,1.03752,1.2866,1.22875,-0.300788,-0.886023,1.33169,0.324737,-1.30984,0.0964029,1.0967,0.475494,0.26135,-0.671051,1.65741,1.45877,1.33089,-0.0512378,1.33093,1.45281,1.47288,-0.9013,-2.66491,-1.68987,1.18925,1.23447,1.04462,-1.0411,-0.760857,-1.9832,-0.58476,1.50403,1.54805,-0.255572,0.847504,-1.52264,1.30049,-1.04191,-2.14188,-0.456069,-1.85511,-0.672018,-0.920855,0.92615,-1.21484,1.35823,0.598772,-1.10405,-2.08904,1.35572,-1.61322,-0.319187,2.25063,-0.00438895,1.25349,-0.342794,-1.26904,1.33655,52.089,53.7152,55.3413,56.9674,58.5936,58.5325,58.1275,58.2216,60.7088,61.6605,58.0542,59.6916,62.3497,60.0629,58.4363,59.4465,59.7947,61.3109,57.5245,57.8475,58.0555,60.303,58.0554,57.8572,57.8246,61.6853,64.5532,62.9676,58.2858,58.2123,58.521,61.9127,61.4569,63.4446,61.1706,57.7739,57.7024,60.6353,58.8415,62.6957,58.1049,61.914,63.7027,60.9613,63.2363,61.3125,61.7171,58.7137,62.1952,58.011,59.246,62.015,63.6167,58.0151,62.843,60.7387,56.5599,60.2268,58.1814,60.7771,62.2833
-964.168,7.78128e-42,0.0278904,2,7,0,1006.31,60.2197,-1.62613,13.7782,1.03752,1.2866,1.22875,-0.300788,-0.886023,1.33169,0.324737,-1.30984,0.0964029,1.0967,0.475494,0.26135,-0.671051,1.65741,1.45877,1.33089,-0.0512378,1.33093,1.45281,1.47288,-0.9013,-2.66491,-1.68987,1.18925,1.23447,1.04462,-1.0411,-0.760857,-1.9832,-0.58476,1.50403,1.54805,-0.255572,0.847504,-1.52264,1.30049,-1.04191,-2.14188,-0.456069,-1.85511,-0.672018,-0.920855,0.92615,-1.21484,1.35823,0.598772,-1.10405,-2.08904,1.35572,-1.61322,-0.319187,2.25063,-0.00438895,1.25349,-0.342794,-1.26904,1.33655,52.089,53.7152,55.3413,56.9674,58.5936,58.5325,58.1275,58.2216,60.7088,61.6605,58.0542,59.6916,62.3497,60.0629,58.4363,59.4465,59.7947,61.3109,57.5245,57.8475,58.0555,60.303,58.0554,57.8572,57.8246,61.6853,64.5532,62.9676,58.2858,58.2123,58.521,61.9127,61.4569,63.4446,61.1706,57.7739,57.7024,60.6353,58.8415,62.6957,58.1049,61.914,63.7027,60.9613,63.2363,61.3125,61.7171,58.7137,62.1952,58.011,59.246,62.015,63.6167,58.0151,62.843,60.7387,56.5599,60.2268,58.1814,60.7771,62.2833
-676.157,1,0.00303916,3,7,0,988.066,50.6223,-1.64471,13.7638,1.06685,1.27273,1.24712,-0.30506,-0.879158,1.33428,0.304667,-1.30715,0.085823,1.09454,0.495445,0.252224,-0.675495,1.63833,1.45864,1.32907,-0.03731,1.33965,1.44091,1.45786,-0.895999,-2.66896,-1.68849,1.20404,1.22928,1.04002,-1.02507,-0.749829,-1.98156,-0.591904,1.51806,1.56856,-0.26027,0.867453,-1.52418,1.3117,-1.02553,-2.14171,-0.455075,-1.84678,-0.676938,-0.915959,0.920558,-1.21712,1.35873,0.590557,-1.09474,-2.0892,1.33692,-1.58803,-0.306727,2.23293,-0.00790888,1.2562,-0.341085,-1.26944,1.35507,42.3987,44.0434,45.6882,47.3329,48.9776,48.8676,48.529,48.5711,51.124,52.0682,48.4278,50.1212,52.7722,50.4811,48.8221,49.8074,50.2074,51.7333,47.9277,48.2232,48.4363,50.6836,48.4189,48.2524,48.2245,52.0959,55.0119,53.3994,48.642,48.6005,48.9117,52.3082,51.8555,53.8814,51.5958,48.1255,48.0424,51.0503,49.1956,53.1291,48.4649,52.309,54.1448,51.3707,53.6597,51.7356,52.1288,49.1082,52.6241,48.3876,49.651,52.4228,54.0584,48.4234,53.2341,51.1268,46.9498,50.6353,48.5562,51.1833,52.7101
