"Plate","Well","Sample","Ct","CtSD"
1,"D4","0321.1Prt.Up.1",34.9285697937012,1.51536651587716
1,"D5","0321.1Prt.Up.1",34.7392158508301,1.51536651587716
1,"D6","0321.1Prt.Up.1",37.4534568786621,1.51536651587716
2,"H4","0421.1Prt.Up.3",33.5999984741211,3.05451809068517
2,"H5","0421.1Prt.Up.3",38.2611656188965,3.05451809068517
2,"H6","0421.1Prt.Up.3",32.5107307434082,3.05451809068517
6,"E4","0721.5Sqm.Dn.1",28.7514667510986,2.19584870216647
6,"E5","0721.5Sqm.Dn.1",28.4534530639648,2.19584870216647
6,"E6","0721.5Sqm.Dn.1",32.3970146179199,2.19584870216647
9,"B4","1021.3Chk.Dn.1",30.2116146087646,3.61678993558406
9,"B5","1021.3Chk.Dn.1",35.4630088806152,3.61678993558406
9,"B6","1021.3Chk.Dn.1",37.1455192565918,3.61678993558406
9,"C4","1021.3Chk.Dn.2",34.1026344299316,3.44156993998238
9,"C5","1021.3Chk.Dn.2",37.9672508239746,3.44156993998238
9,"C6","1021.3Chk.Dn.2",40.9676666259766,3.44156993998238
9,"D4","1021.3Chk.Dn.3",30.0851020812988,3.23062891561114
9,"D5","1021.3Chk.Dn.3",30.3821983337402,3.23062891561114
9,"D6","1021.3Chk.Dn.3",35.8233451843262,3.23062891561114
9,"E4","1021.3Chk.Up.1",31.4222564697266,2.87123888679164
9,"E5","1021.3Chk.Up.1",31.4599723815918,2.87123888679164
9,"E6","1021.3Chk.Up.1",36.4141387939453,2.87123888679164
9,"F4","1021.3Chk.Up.2",30.3666248321533,2.29925290217519
9,"F5","1021.3Chk.Up.2",30.3462429046631,2.29925290217519
9,"F6","1021.3Chk.Up.2",34.3388175964355,2.29925290217519
9,"G4","1021.3Chk.Up.3",31.5181941986084,1.9635602235122
9,"G5","1021.3Chk.Up.3",31.5696697235107,1.9635602235122
9,"G6","1021.3Chk.Up.3",34.9446258544922,1.9635602235122
10,"H7","1221.1Prt.Dn.1",39.3184356689453,3.11303980254769
10,"H8","1221.1Prt.Dn.1",39.0629501342773,3.11303980254769
10,"H9","1221.1Prt.Dn.1",33.8032913208008,3.11303980254769
11,"H4","1221.3Chk.Dn.3",36.6557464599609,2.10638632365318
11,"H5","1221.3Chk.Dn.3",36.6475372314453,2.10638632365318
