"Plate","Well","Sample","Ct","diffIPC","dilute"
9,"D11","1121.2Brn.Dn.1",38.897876739502,5.92177581787109,TRUE
9,"D12","1121.2Brn.Dn.1",38.897876739502,5.92177581787109,TRUE
10,"D10","1221.1Prt.Up.2",NA,NA,TRUE
10,"D11","1221.1Prt.Up.2",NA,NA,TRUE
10,"D12","1221.1Prt.Up.2",NA,NA,TRUE
10,"E10","1221.1Prt.Up.3",NA,NA,TRUE
10,"E11","1221.1Prt.Up.3",NA,NA,TRUE
10,"E12","1221.1Prt.Up.3",NA,NA,TRUE
10,"F7","1121.5Sqm.Up.2",NA,NA,TRUE
10,"F8","1121.5Sqm.Up.2",NA,NA,TRUE
10,"F9","1121.5Sqm.Up.2",NA,NA,TRUE
10,"F10","1221.2Brn.Dn.1",NA,NA,TRUE
10,"F11","1221.2Brn.Dn.1",NA,NA,TRUE
10,"F12","1221.2Brn.Dn.1",NA,NA,TRUE
11,"A10","1221.5Sqm.Up.3",37.8605499267578,10.6244983673096,TRUE
11,"A11","1221.5Sqm.Up.3",37.8605499267578,10.6244983673096,TRUE
11,"A12","1221.5Sqm.Up.3",37.8605499267578,10.6244983673096,TRUE
11,"D7","1221.5Sqm.Dn.1",37.2730827331543,10.0370311737061,TRUE
11,"D8","1221.5Sqm.Dn.1",37.2730827331543,10.0370311737061,TRUE
11,"D9","1221.5Sqm.Dn.1",37.2730827331543,10.0370311737061,TRUE
11,"E7","1221.5Sqm.Dn.2",NA,NA,TRUE
11,"E8","1221.5Sqm.Dn.2",NA,NA,TRUE
11,"E9","1221.5Sqm.Dn.2",NA,NA,TRUE
11,"E10","0122.1Prt.Up.1",NA,NA,TRUE
11,"E11","0122.1Prt.Up.1",NA,NA,TRUE
11,"E12","0122.1Prt.Up.1",NA,NA,TRUE
11,"G7","1221.5Sqm.Up.1",30.9824275970459,3.74637603759766,TRUE
11,"G8","1221.5Sqm.Up.1",30.9824275970459,3.74637603759766,TRUE
11,"G9","1221.5Sqm.Up.1",30.9824275970459,3.74637603759766,TRUE
13,"B10","0222.5Sqm.Dn.3",37.2054328918457,5.35368156433105,TRUE
13,"B11","0222.5Sqm.Dn.3",37.2054328918457,5.35368156433105,TRUE
13,"B12","0222.5Sqm.Dn.3",37.2054328918457,5.35368156433105,TRUE
13,"D10","0222.5Sqm.Up.2",NA,NA,TRUE
13,"D11","0222.5Sqm.Up.2",NA,NA,TRUE
13,"D12","0222.5Sqm.Up.2",NA,NA,TRUE
13,"E10","0222.5Sqm.Up.3",NA,NA,TRUE
13,"E11","0222.5Sqm.Up.3",NA,NA,TRUE
13,"E12","0222.5Sqm.Up.3",NA,NA,TRUE
13,"F10","0921.4Pad.Up11.1",36.662410736084,4.81065940856934,TRUE
13,"F11","0921.4Pad.Up11.1",36.662410736084,4.81065940856934,TRUE
13,"F12","0921.4Pad.Up11.1",36.662410736084,4.81065940856934,TRUE
13,"G7","0222.3Chk.Up.3",35.1830062866211,3.33125495910645,TRUE
13,"G8","0222.3Chk.Up.3",35.1830062866211,3.33125495910645,TRUE
13,"G9","0222.3Chk.Up.3",35.1830062866211,3.33125495910645,TRUE
13,"H7","0222.5Sqm.Dn.1",35.9052314758301,4.05348014831543,TRUE
13,"H8","0222.5Sqm.Dn.1",35.9052314758301,4.05348014831543,TRUE
13,"H9","0222.5Sqm.Dn.1",35.9052314758301,4.05348014831543,TRUE
7,"G4","0821.5Sqm.Dn.1",41.925968170166,15.0925846099854,TRUE
7,"G5","0821.5Sqm.Dn.1",41.925968170166,15.0925846099854,TRUE
7,"G6","0821.5Sqm.Dn.1",41.925968170166,15.0925846099854,TRUE
7,"H4","0821.5Sqm.Dn.2",31.1891098022461,4.35572624206543,TRUE
7,"H5","0821.5Sqm.Dn.2",31.1891098022461,4.35572624206543,TRUE
7,"H6","0821.5Sqm.Dn.2",31.1891098022461,4.35572624206543,TRUE
12,"A4","0122.1Prt.Up.3",39.1738471984863,11.916654586792,TRUE
12,"A5","0122.1Prt.Up.3",39.1738471984863,11.916654586792,TRUE
12,"A6","0122.1Prt.Up.3",39.1738471984863,11.916654586792,TRUE
