"Sample_name","species","totalReads"
"MiFish.0621.5Sqm.Up.2.1","Lampetra ayresii",16383
"MiFish.0621.5Sqm.Up.2.1","Turdus migratorius",9430
"MiFish.0621.5Sqm.Up.2.1","Melospiza melodia",397
"MiFish.0621.5Sqm.Up.2.1","Homo sapiens",184
"MiFish.0621.5Sqm.Up.2.1","Bombycilla cedrorum",9
"MiFish.0721.1Prt.Dn.1.1","Oncorhynchus clarkii",57130
"MiFish.0721.1Prt.Dn.1.1","Oncorhynchus kisutch",23616
"MiFish.0721.1Prt.Dn.1.1","Lampetra ayresii",12901
"MiFish.0721.1Prt.Dn.1.1","Dicamptodon tenebrosus",26
"MiFish.0721.1Prt.Dn.1.1","Turdus migratorius",139
"MiFish.0721.1Prt.Dn.1.1","Didelphis virginiana",5
"MiFish.0721.1Prt.Up.3.1","Oncorhynchus clarkii",100923
"MiFish.0721.1Prt.Up.3.1","Oncorhynchus kisutch",34683
"MiFish.0721.1Prt.Up.3.1","Lampetra ayresii",45047
"MiFish.0721.1Prt.Up.3.1","Dicamptodon tenebrosus",3297
"MiFish.0721.1Prt.Up.3.1","Rattus rattus",1022
"MiFish.0721.1Prt.Up.3.1","Didelphis virginiana",281
"MiFish.0721.2Brn.Dn.1.1","Oncorhynchus clarkii",49895
"MiFish.0721.2Brn.Dn.1.1","Oncorhynchus kisutch",17290
"MiFish.0721.2Brn.Dn.1.1","Dicamptodon tenebrosus",9191
"MiFish.0721.2Brn.Dn.1.1","Didelphis virginiana",164
"MiFish.0721.2Brn.Up.3.1","Dicamptodon tenebrosus",54272
"MiFish.0721.2Brn.Up.3.1","Ascaphus truei",4466
"MiFish.0721.3Chk.Dn.1.1","Oncorhynchus clarkii",81936
"MiFish.0721.3Chk.Dn.1.1","Oncorhynchus mykiss",3460
"MiFish.0721.3Chk.Dn.1.1","Dicamptodon tenebrosus",5795
"MiFish.0721.3Chk.Dn.1.1","Didelphis virginiana",5
"MiFish.0721.3Chk.Dn.2.1","Oncorhynchus clarkii",82421
"MiFish.0721.3Chk.Dn.2.1","Oncorhynchus mykiss",3741
"MiFish.0721.3Chk.Dn.2.1","Dicamptodon tenebrosus",7073
"MiFish.0721.3Chk.Dn.2.1","Scapanus orarius",6
"MiFish.0721.3Chk.Dn.3.1","Oncorhynchus clarkii",87286
"MiFish.0721.3Chk.Dn.3.1","Oncorhynchus mykiss",2387
"MiFish.0721.3Chk.Dn.3.1","Dicamptodon tenebrosus",9710
"MiFish.0721.3Chk.Up.3.1","Oncorhynchus clarkii",101266
"MiFish.0721.3Chk.Up.3.1","Oncorhynchus mykiss",2615
"MiFish.0721.3Chk.Up.3.1","Dicamptodon tenebrosus",1352
"MiFish.0721.3Chk.Up.3.1","Turdus migratorius",58
"MiFish.0721.3Chk.Up.3.1","Didelphis virginiana",84
"MiFish.0721.3Chk.Up.3.1","Homo sapiens",29
"MiFish.0721.4Pad.Dn.1.1","Oncorhynchus clarkii",9612
"MiFish.0721.4Pad.Dn.1.1","Oncorhynchus kisutch",1218
"MiFish.0721.4Pad.Dn.1.1","Oncorhynchus mykiss",20104
"MiFish.0721.4Pad.Dn.1.1","Gasterosteus aculeatus",67326
"MiFish.0721.4Pad.Dn.1.1","Lepomis gibbosus",65
"MiFish.0721.4Pad.Dn.1.1","Procyon lotor",54
"MiFish.0721.4Pad.Up11.1.1","Oncorhynchus clarkii",18808
"MiFish.0721.4Pad.Up11.1.1","Oncorhynchus kisutch",20592
"MiFish.0721.4Pad.Up11.1.1","Oncorhynchus mykiss",93823
"MiFish.0721.4Pad.Up11.1.1","Cottus asper",10387
"MiFish.0721.4Pad.Up11.1.1","Turdus migratorius",1030
"MiFish.0721.4Pad.Up11.1.1","Perca flavescens",889
"MiFish.0721.4Pad.Up11.1.1","Rattus rattus",151
"MiFish.0721.4Pad.Up11.1.1","Melospiza melodia",10
"MiFish.0721.4Pad.Up11.1.1","Homo sapiens",12
"MiFish.0721.4Pad.Up11.1.1","Sus scrofa",54
"MiFish.0721.4Pad.Up11.2.1","Oncorhynchus clarkii",22227
"MiFish.0721.4Pad.Up11.2.1","Oncorhynchus kisutch",35097
"MiFish.0721.4Pad.Up11.2.1","Oncorhynchus mykiss",169844
"MiFish.0721.4Pad.Up11.2.1","Cottus asper",16383
"MiFish.0721.4Pad.Up11.2.1","Homo sapiens",2
"MiFish.0721.4Pad.Up5.1.1","Oncorhynchus kisutch",60649
"MiFish.0721.4Pad.Up5.1.1","Cottus asper",25915
"MiFish.0721.4Pad.Up5.1.1","Turdus migratorius",22335
"MiFish.0721.4Pad.Up5.2.1","Oncorhynchus kisutch",55203
"MiFish.0721.4Pad.Up5.2.1","Cottus asper",31186
"MiFish.0721.4Pad.Up5.2.1","Turdus migratorius",7297
"MiFish.0721.4Pad.Up5.2.1","Perca flavescens",1932
"MiFish.0721.4Pad.Up5.3.1","Oncorhynchus kisutch",27615
"MiFish.0721.4Pad.Up5.3.1","Cottus asper",8646
"MiFish.0721.4Pad.Up5.3.1","Turdus migratorius",8413
"MiFish.0721.5Sqm.Dn.1.1","Oncorhynchus clarkii",62968
"MiFish.0721.5Sqm.Dn.1.1","Oncorhynchus kisutch",29748
"MiFish.0721.5Sqm.Dn.1.1","Lampetra ayresii",68
"MiFish.0721.5Sqm.Dn.1.1","Turdus migratorius",4
"MiFish.0721.5Sqm.Up.1.1","Oncorhynchus clarkii",45205
"MiFish.0721.5Sqm.Up.1.1","Oncorhynchus kisutch",18950
"MiFish.0721.5Sqm.Up.1.1","Lampetra ayresii",5667
"MiFish.0721.5Sqm.Up.1.1","Turdus migratorius",5632
"MiFish.0721.5Sqm.Up.1.1","Bos taurus",27
"MiFish.0721.5Sqm.Up.1.1","Homo sapiens",13
"MiFish.0721.5Sqm.Up.3.1","Oncorhynchus clarkii",59228
"MiFish.0721.5Sqm.Up.3.1","Oncorhynchus kisutch",26822
"MiFish.0721.5Sqm.Up.3.1","Lampetra ayresii",4262
"MiFish.0721.5Sqm.Up.3.1","Turdus migratorius",6242
"MiFish.0721.4Pad.Up5.1.2","Oncorhynchus kisutch",31242
"MiFish.0721.4Pad.Up5.1.2","Cottus asper",3921
"MiFish.0721.4Pad.Up5.1.2","Turdus migratorius",6668
"MiFish.0721.4Pad.Up5.1.3","Oncorhynchus kisutch",61097
"MiFish.0721.4Pad.Up5.1.3","Cottus asper",14097
"MiFish.0721.4Pad.Up5.1.3","Turdus migratorius",10903
"MiFish.0721.4Pad.Up5.1.3","Sus scrofa",68
"MiFish.0521.1Prt.Dn.1.1","Oncorhynchus clarkii",18882
"MiFish.0521.1Prt.Dn.1.1","Oncorhynchus kisutch",108
"MiFish.0521.1Prt.Dn.1.1","Lampetra ayresii",9410
"MiFish.0521.1Prt.Dn.1.1","Canis lupus",2270
"MiFish.0521.1Prt.Up.1.1","Oncorhynchus clarkii",1613
"MiFish.0521.1Prt.Up.1.1","Oncorhynchus kisutch",2236
"MiFish.0521.1Prt.Up.1.1","Lampetra ayresii",2125
"MiFish.0521.1Prt.Up.1.1","Dicamptodon tenebrosus",137
"MiFish.0521.2Brn.Dn.3.1","Oncorhynchus clarkii",36881
"MiFish.0521.2Brn.Dn.3.1","Oncorhynchus kisutch",58938
"MiFish.0521.2Brn.Dn.3.1","Dicamptodon tenebrosus",16150
"MiFish.0521.3Chk.Dn.1.1","Homo sapiens",130
"MiFish.0521.3Chk.Up.3.1","Oncorhynchus clarkii",83088
"MiFish.0521.4Pad.Dn.1.1","Oncorhynchus clarkii",21160
"MiFish.0521.4Pad.Dn.1.1","Oncorhynchus kisutch",9177
"MiFish.0521.4Pad.Dn.1.1","Oncorhynchus mykiss",34593
"MiFish.0521.4Pad.Dn.1.1","Cottus asper",20598
"MiFish.0521.4Pad.Dn.1.1","Gasterosteus aculeatus",5598
"MiFish.0521.4Pad.Dn.1.1","Taricha granulosa",22687
"MiFish.0521.4Pad.Dn.1.1","Homo sapiens",20
"MiFish.0521.4Pad.Up11.1.1","Oncorhynchus clarkii",43735
"MiFish.0521.4Pad.Up11.1.1","Oncorhynchus kisutch",26625
"MiFish.0521.4Pad.Up11.1.1","Oncorhynchus mykiss",8372
"MiFish.0521.4Pad.Up11.1.1","Cottus asper",21449
"MiFish.0521.4Pad.Up11.1.1","Lampetra ayresii",3
"MiFish.0521.4Pad.Up5.1.1","Oncorhynchus clarkii",418
"MiFish.0521.4Pad.Up5.1.1","Oncorhynchus mykiss",57294
"MiFish.0521.4Pad.Up5.1.1","Cottus asper",32942
"MiFish.0521.4Pad.Up5.1.1","Perca flavescens",5428
"MiFish.0521.4Pad.Up5.1.1","Turdus migratorius",156
"MiFish.0521.5Sqm.Dn.1.1","Oncorhynchus clarkii",52163
"MiFish.0521.5Sqm.Dn.1.1","Oncorhynchus kisutch",23040
"MiFish.0521.5Sqm.Dn.1.1","Lampetra ayresii",9604
"MiFish.0521.5Sqm.Dn.1.1","Turdus migratorius",155
"MiFish.0521.5Sqm.Dn.1.1","Pimephales promelas",684
"MiFish.0521.5Sqm.Dn.1.1","Bos taurus",2245
"MiFish.0521.5Sqm.Dn.2.1","Oncorhynchus clarkii",55973
"MiFish.0521.5Sqm.Dn.2.1","Oncorhynchus kisutch",26363
"MiFish.0521.5Sqm.Dn.2.1","Lampetra ayresii",11336
"MiFish.0521.5Sqm.Dn.2.1","Turdus migratorius",99
"MiFish.0521.5Sqm.Dn.2.1","Pimephales promelas",5362
"MiFish.0521.5Sqm.Dn.2.1","Bos taurus",5340
"MiFish.0521.5Sqm.Dn.2.1","Castor canadensis",35
"MiFish.0521.5Sqm.Up.2.1","Oncorhynchus clarkii",24800
"MiFish.0521.5Sqm.Up.2.1","Oncorhynchus kisutch",7673
"MiFish.0521.5Sqm.Up.2.1","Oncorhynchus mykiss",198
"MiFish.0521.5Sqm.Up.2.1","Lampetra ayresii",1611
"MiFish.0521.5Sqm.Up.2.1","Pimephales promelas",3640
"MiFish.0521.5Sqm.Up.2.1","Bos taurus",293
"MiFish.0521.5Sqm.Up.2.1","Turdus migratorius",37
"MiFish.0521.5Sqm.Up.3.1","Oncorhynchus clarkii",69429
"MiFish.0521.5Sqm.Up.3.1","Oncorhynchus kisutch",28195
"MiFish.0521.5Sqm.Up.3.1","Oncorhynchus mykiss",1041
"MiFish.0521.5Sqm.Up.3.1","Lampetra ayresii",3342
"MiFish.0521.5Sqm.Up.3.1","Pimephales promelas",975
"MiFish.0521.5Sqm.Up.3.1","Bos taurus",368
"MiFish.0521.5Sqm.Up.3.1","Turdus migratorius",43
"MiFish.Kangaroo.Run5","Osphranter rufus",88788
"MiFish.Kangaroo.Run5","Macropus giganteus",688
"MiFish.0621.1Prt.Dn.1.1","Oncorhynchus clarkii",15887
"MiFish.0621.1Prt.Dn.1.1","Oncorhynchus kisutch",6040
"MiFish.0621.1Prt.Dn.1.1","Lampetra ayresii",7780
"MiFish.0621.1Prt.Dn.1.1","Dicamptodon tenebrosus",6
"MiFish.0621.2Brn.Dn.1.1","Oncorhynchus clarkii",16450
"MiFish.0621.2Brn.Dn.1.1","Oncorhynchus kisutch",17342
"MiFish.0621.2Brn.Dn.1.1","Dicamptodon tenebrosus",1567
"MiFish.0621.2Brn.Dn.2.1","Oncorhynchus clarkii",18865
"MiFish.0621.2Brn.Dn.2.1","Oncorhynchus kisutch",14449
"MiFish.0621.2Brn.Dn.2.1","Lampetra ayresii",27
"MiFish.0621.2Brn.Dn.2.1","Dicamptodon tenebrosus",725
"MiFish.0621.2Brn.Up.1.1","Dicamptodon tenebrosus",15035
"MiFish.0621.2Brn.Up.1.1","Ascaphus truei",1205
"MiFish.0621.2Brn.Up.1.1","Myotis keenii",89
"MiFish.0621.2Brn.Up.3.1","Dicamptodon tenebrosus",7745
"MiFish.0621.3Chk.Dn.1.1","Oncorhynchus clarkii",32767
"MiFish.0621.3Chk.Dn.1.1","Oncorhynchus mykiss",1038
"MiFish.0621.3Chk.Dn.1.1","Dicamptodon tenebrosus",435
"MiFish.0621.3Chk.Dn.1.1","Turdus migratorius",45
"MiFish.0621.3Chk.Dn.2.1","Oncorhynchus clarkii",36295
"MiFish.0621.3Chk.Dn.2.1","Oncorhynchus mykiss",3293
"MiFish.0621.3Chk.Dn.2.1","Dicamptodon tenebrosus",136
"MiFish.0621.3Chk.Dn.2.1","Turdus migratorius",17
"MiFish.0621.3Chk.Dn.2.1","Perca flavescens",11
"MiFish.0621.3Chk.Up.3.1","Oncorhynchus clarkii",39758
"MiFish.0621.3Chk.Up.3.1","Oncorhynchus mykiss",77
"MiFish.0621.3Chk.Up.3.1","Dicamptodon tenebrosus",327
"MiFish.0621.3Chk.Up.3.1","Turdus migratorius",167
"MiFish.0621.3Chk.Up.3.1","Homo sapiens",15
"MiFish.0621.4Pad.Dn.1.1","Oncorhynchus clarkii",1859
"MiFish.0621.4Pad.Dn.1.1","Oncorhynchus kisutch",22989
"MiFish.0621.4Pad.Dn.1.1","Oncorhynchus mykiss",8239
"MiFish.0621.4Pad.Dn.1.1","Cottus asper",1606
"MiFish.0621.4Pad.Dn.1.1","Gasterosteus aculeatus",9005
"MiFish.0621.4Pad.Dn.2.1","Oncorhynchus clarkii",47
"MiFish.0621.4Pad.Dn.2.1","Oncorhynchus kisutch",473
"MiFish.0621.4Pad.Dn.2.1","Oncorhynchus mykiss",209
"MiFish.0621.4Pad.Dn.2.1","Cottus asper",24
"MiFish.0621.4Pad.Dn.2.1","Gasterosteus aculeatus",254
"MiFish.0621.4Pad.Dn.2.1","Lepomis gibbosus",4
"MiFish.0621.4Pad.Dn.3.1","Oncorhynchus clarkii",1171
"MiFish.0621.4Pad.Dn.3.1","Oncorhynchus kisutch",17329
"MiFish.0621.4Pad.Dn.3.1","Oncorhynchus mykiss",6844
"MiFish.0621.4Pad.Dn.3.1","Cottus asper",1119
"MiFish.0621.4Pad.Dn.3.1","Gasterosteus aculeatus",7296
"MiFish.0621.4Pad.Dn.3.1","Bos taurus",4
"MiFish.0621.4Pad.Dn.3.1","Lepomis gibbosus",8
"MiFish.0621.4Pad.Dn.3.1","Sturnus vulgaris",12
"MiFish.0621.4Pad.Up5.1.1","Oncorhynchus kisutch",26474
"MiFish.0621.4Pad.Up5.1.1","Cottus asper",11810
"MiFish.0621.4Pad.Up5.1.1","Turdus migratorius",135
"MiFish.0621.4Pad.Up5.1.1","Perca flavescens",1045
"MiFish.0621.4Pad.Up5.2.1","Oncorhynchus kisutch",1262
"MiFish.0621.4Pad.Up5.2.1","Cottus asper",38
"MiFish.0621.4Pad.Up5.2.1","Turdus migratorius",31
"MiFish.0621.4Pad.Up5.2.1","Homo sapiens",3
"MiFish.0621.4Pad.Up5.3.1","Oncorhynchus kisutch",19176
"MiFish.0621.4Pad.Up5.3.1","Cottus asper",5469
"MiFish.0621.4Pad.Up5.3.1","Turdus migratorius",1897
"MiFish.0621.4Pad.Up5.3.1","Perca flavescens",654
"MiFish.0621.4Pad.Up5.3.1","Sus scrofa",45
"MiFish.0621.5Sqm.Dn.2.1","Oncorhynchus clarkii",23839
"MiFish.0621.5Sqm.Dn.2.1","Oncorhynchus kisutch",5703
"MiFish.0621.5Sqm.Dn.2.1","Lampetra ayresii",3808
"MiFish.0621.5Sqm.Dn.2.1","Turdus migratorius",246
"MiFish.0621.5Sqm.Dn.2.1","Bos taurus",1616
"MiFish.0621.5Sqm.Dn.2.1","Ameiurus nebulosus",1396
"MiFish.0621.5Sqm.Dn.2.1","Melospiza melodia",23
"MiFish.0621.5Sqm.Up.1.1","Oncorhynchus clarkii",19777
"MiFish.0621.5Sqm.Up.1.1","Oncorhynchus kisutch",5061
"MiFish.0621.5Sqm.Up.1.1","Lampetra ayresii",953
"MiFish.0621.5Sqm.Up.1.1","Bos taurus",1077
"MiFish.0721.1Prt.Up.2.1","Oncorhynchus clarkii",35701
"MiFish.0721.1Prt.Up.2.1","Oncorhynchus kisutch",13449
"MiFish.0721.1Prt.Up.2.1","Lampetra ayresii",10983
"MiFish.0721.1Prt.Up.2.1","Didelphis virginiana",386
"MiFish.0721.1Prt.Up.2.1","Rattus rattus",21
"MiFish.0721.2Brn.Dn.2.1","Oncorhynchus clarkii",36398
"MiFish.0721.2Brn.Dn.2.1","Oncorhynchus kisutch",11916
"MiFish.0721.2Brn.Dn.2.1","Dicamptodon tenebrosus",63
"MiFish.0721.3Chk.Up.1.1","Oncorhynchus clarkii",38178
"MiFish.0721.3Chk.Up.1.1","Oncorhynchus mykiss",528
"MiFish.0721.3Chk.Up.1.1","Dicamptodon tenebrosus",402
"MiFish.0721.3Chk.Up.1.1","Didelphis virginiana",48
"MiFish.0721.3Chk.Up.2.1","Oncorhynchus clarkii",29624
"MiFish.0721.3Chk.Up.2.1","Oncorhynchus mykiss",452
"MiFish.0721.3Chk.Up.2.1","Dicamptodon tenebrosus",819
"MiFish.0721.3Chk.Up.2.1","Turdus migratorius",29
"MiFish.0721.3Chk.Up.2.1","Didelphis virginiana",132
"MiFish.0721.3Chk.Up.2.1","Homo sapiens",14
"MiFish.0721.4Pad.Up11.3.1","Oncorhynchus clarkii",7552
"MiFish.0721.4Pad.Up11.3.1","Oncorhynchus kisutch",8303
"MiFish.0721.4Pad.Up11.3.1","Oncorhynchus mykiss",35301
"MiFish.0721.4Pad.Up11.3.1","Cottus asper",4542
"MiFish.0721.4Pad.Up11.3.1","Perca flavescens",280
"MiFish.0721.4Pad.Up11.3.1","Rattus rattus",78
"MiFish.0721.4Pad.Up11.3.1","Melospiza melodia",10
"MiFish.0721.5Sqm.Dn.3.1","Oncorhynchus clarkii",31179
"MiFish.0721.5Sqm.Dn.3.1","Oncorhynchus kisutch",9010
"MiFish.0721.5Sqm.Dn.3.1","Lampetra ayresii",10
"MiFish.0721.5Sqm.Dn.3.1","Turdus migratorius",13
"MiFish.0721.5Sqm.Up.2.1","Oncorhynchus clarkii",23453
"MiFish.0721.5Sqm.Up.2.1","Oncorhynchus kisutch",10459
"MiFish.0721.5Sqm.Up.2.1","Lampetra ayresii",3319
"MiFish.0721.5Sqm.Up.2.1","Turdus migratorius",2453
"MiFish.0721.5Sqm.Up.2.1","Myotis keenii",38
"MiFish.0721.5Sqm.Up.2.1","Bos taurus",8
"MiFish.0521.1Prt.Dn.2.1","Oncorhynchus clarkii",14824
"MiFish.0521.1Prt.Dn.2.1","Oncorhynchus kisutch",6623
"MiFish.0521.1Prt.Dn.2.1","Lampetra ayresii",10902
"MiFish.0521.1Prt.Dn.2.1","Turdus migratorius",389
"MiFish.0521.1Prt.Dn.2.1","Procyon lotor",8
"MiFish.0521.1Prt.Dn.3.1","Oncorhynchus clarkii",28997
"MiFish.0521.1Prt.Dn.3.1","Oncorhynchus kisutch",10318
"MiFish.0521.1Prt.Dn.3.1","Lampetra ayresii",32328
"MiFish.0521.1Prt.Dn.3.1","Perca flavescens",6
"MiFish.0521.1Prt.Up.3.1","Oncorhynchus clarkii",13960
"MiFish.0521.1Prt.Up.3.1","Oncorhynchus kisutch",9679
"MiFish.0521.1Prt.Up.3.1","Lampetra ayresii",11003
"MiFish.0521.1Prt.Up.3.1","Dicamptodon tenebrosus",10
"MiFish.0521.2Brn.Dn.2.1","Oncorhynchus clarkii",13759
"MiFish.0521.2Brn.Dn.2.1","Oncorhynchus kisutch",21024
"MiFish.0521.2Brn.Dn.2.1","Dicamptodon tenebrosus",478
"MiFish.0521.3Chk.Up.2.1","Oncorhynchus clarkii",37532
"MiFish.0521.5Sqm.Dn.3.1","Oncorhynchus clarkii",23506
"MiFish.0521.5Sqm.Dn.3.1","Oncorhynchus kisutch",10562
"MiFish.0521.5Sqm.Dn.3.1","Lampetra ayresii",3117
"MiFish.0521.5Sqm.Dn.3.1","Oncorhynchus mykiss",780
"MiFish.0521.5Sqm.Dn.3.1","Bos taurus",634
"MiFish.0521.5Sqm.Dn.3.1","Pimephales promelas",866
"MiFish.Kangaroo.Run6","Osphranter rufus",53348
"MiFish.Kangaroo.Run6","Macropus giganteus",206
"MiFish.Kangaroo.Run6","Homo sapiens",25
"MiFish.0621.1Prt.Dn.3.1","Oncorhynchus clarkii",30851
"MiFish.0621.1Prt.Dn.3.1","Oncorhynchus kisutch",10347
"MiFish.0621.1Prt.Dn.3.1","Dicamptodon tenebrosus",2002
"MiFish.0621.1Prt.Dn.3.1","Lampetra ayresii",27778
"MiFish.0621.1Prt.Dn.3.1","Homo sapiens",498
"MiFish.0621.1Prt.Dn.3.1","Didelphis virginiana",7
"MiFish.0621.1Prt.Up.1.1","Oncorhynchus clarkii",55161
"MiFish.0621.1Prt.Up.1.1","Oncorhynchus kisutch",27507
"MiFish.0621.1Prt.Up.1.1","Dicamptodon tenebrosus",5014
"MiFish.0621.1Prt.Up.1.1","Lampetra ayresii",33413
"MiFish.0621.1Prt.Up.1.1","Turdus migratorius",2490
"MiFish.0621.1Prt.Up.1.1","Rattus rattus",95
"MiFish.0621.1Prt.Up.3.1","Oncorhynchus clarkii",48198
"MiFish.0621.1Prt.Up.3.1","Oncorhynchus kisutch",8826
"MiFish.0621.1Prt.Up.3.1","Dicamptodon tenebrosus",941
"MiFish.0621.1Prt.Up.3.1","Lampetra ayresii",8948
"MiFish.0621.1Prt.Up.3.1","Turdus migratorius",705
"MiFish.0621.2Brn.Dn.3.1","Oncorhynchus clarkii",67682
"MiFish.0621.2Brn.Dn.3.1","Oncorhynchus kisutch",80945
"MiFish.0621.2Brn.Dn.3.1","Dicamptodon tenebrosus",3448
"MiFish.0621.2Brn.Dn.3.1","Turdus migratorius",17
"MiFish.0621.2Brn.Up.2.1","Dicamptodon tenebrosus",4277
"MiFish.0621.2Brn.Up.2.1","Ascaphus truei",3359
"MiFish.0621.3Chk.Up.1.1","Oncorhynchus clarkii",92996
"MiFish.0621.3Chk.Up.1.1","Dicamptodon tenebrosus",1540
"MiFish.0621.3Chk.Up.1.1","Turdus migratorius",70
"MiFish.0621.3Chk.Up.1.1","Oncorhynchus mykiss",321
"MiFish.0621.3Chk.Up.2.1","Oncorhynchus clarkii",158769
"MiFish.0621.3Chk.Up.2.1","Dicamptodon tenebrosus",5075
"MiFish.0621.3Chk.Up.2.1","Turdus migratorius",871
"MiFish.0621.3Chk.Up.2.1","Oncorhynchus mykiss",1018
"MiFish.0621.4Pad.Up11.1.1","Oncorhynchus clarkii",12532
"MiFish.0621.4Pad.Up11.1.1","Oncorhynchus kisutch",31924
"MiFish.0621.4Pad.Up11.1.1","Lampetra ayresii",2
"MiFish.0621.4Pad.Up11.1.1","Cottus asper",15278
"MiFish.0621.4Pad.Up11.1.1","Oncorhynchus mykiss",16858
"MiFish.0621.4Pad.Up11.1.1","Turdus migratorius",17
"MiFish.0621.5Sqm.Dn.3.1","Oncorhynchus clarkii",89797
"MiFish.0621.5Sqm.Dn.3.1","Oncorhynchus kisutch",11698
"MiFish.0621.5Sqm.Dn.3.1","Lampetra ayresii",5266
"MiFish.0621.5Sqm.Dn.3.1","Oncorhynchus mykiss",1843
"MiFish.0621.5Sqm.Dn.3.1","Bos taurus",3627
"MiFish.0621.5Sqm.Dn.3.1","Pimephales promelas",2719
"MiFish.0621.5Sqm.Dn.3.1","Turdus migratorius",2864
"MiFish.0621.5Sqm.Dn.3.1","Ameiurus nebulosus",2179
"MiFish.0621.5Sqm.Dn.3.1","Melospiza melodia",247
"MiFish.0621.5Sqm.Dn.3.1","Homo sapiens",215
"MiFish.0621.5Sqm.Dn.3.1","Poecile atricapillus",38
"MiFish.0621.5Sqm.Up.3.1","Oncorhynchus clarkii",38490
"MiFish.0621.5Sqm.Up.3.1","Oncorhynchus kisutch",8484
"MiFish.0621.5Sqm.Up.3.1","Lampetra ayresii",8513
"MiFish.0621.5Sqm.Up.3.1","Turdus migratorius",1604
"MiFish.0621.5Sqm.Up.3.1","Homo sapiens",326
"MiFish.0621.5Sqm.Up.3.1","Melospiza melodia",16
"MiFish.0621.5Sqm.Up.3.2","Oncorhynchus clarkii",142818
"MiFish.0621.5Sqm.Up.3.2","Oncorhynchus kisutch",43738
"MiFish.0621.5Sqm.Up.3.2","Lampetra ayresii",38228
"MiFish.0621.5Sqm.Up.3.2","Bos taurus",16696
"MiFish.0621.5Sqm.Up.3.2","Pimephales promelas",6161
"MiFish.0621.5Sqm.Up.3.2","Homo sapiens",709
"MiFish.0621.5Sqm.Up.3.2","Melospiza melodia",104
"MiFish.0621.5Sqm.Up.3.3","Oncorhynchus clarkii",92566
"MiFish.0621.5Sqm.Up.3.3","Oncorhynchus kisutch",19657
"MiFish.0621.5Sqm.Up.3.3","Lampetra ayresii",22419
"MiFish.0621.5Sqm.Up.3.3","Bos taurus",4481
"MiFish.0621.5Sqm.Up.3.3","Turdus migratorius",1418
"MiFish.0621.5Sqm.Up.3.3","Ameiurus nebulosus",1696
"MiFish.0621.5Sqm.Up.3.3","Homo sapiens",17
"MiFish.0621.5Sqm.Up.3.3","Melospiza melodia",11
"MiFish.0721.1Prt.Dn.2.1","Oncorhynchus clarkii",55422
"MiFish.0721.1Prt.Dn.2.1","Oncorhynchus kisutch",23959
"MiFish.0721.1Prt.Dn.2.1","Dicamptodon tenebrosus",6
"MiFish.0721.1Prt.Dn.2.1","Lampetra ayresii",10696
"MiFish.0721.1Prt.Dn.2.1","Bos taurus",12
"MiFish.0721.1Prt.Dn.2.1","Turdus migratorius",240
"MiFish.0721.1Prt.Dn.2.1","Homo sapiens",109
"MiFish.0721.1Prt.Dn.3.1","Oncorhynchus clarkii",35816
"MiFish.0721.1Prt.Dn.3.1","Oncorhynchus kisutch",15635
"MiFish.0721.1Prt.Dn.3.1","Lampetra ayresii",10886
"MiFish.0721.1Prt.Dn.3.1","Turdus migratorius",243
"MiFish.0721.1Prt.Up.1.1","Oncorhynchus clarkii",27435
"MiFish.0721.1Prt.Up.1.1","Oncorhynchus kisutch",15474
"MiFish.0721.1Prt.Up.1.1","Lampetra ayresii",15623
"MiFish.0721.1Prt.Up.1.1","Turdus migratorius",96
"MiFish.0721.1Prt.Up.1.1","Rattus rattus",497
"MiFish.0721.1Prt.Up.1.1","Didelphis virginiana",15
"MiFish.0721.1Prt.Up.1.1","Procyon lotor",17
"MiFish.0721.2Brn.Dn.3.1","Oncorhynchus clarkii",48002
"MiFish.0721.2Brn.Dn.3.1","Oncorhynchus kisutch",15572
"MiFish.0721.2Brn.Dn.3.1","Dicamptodon tenebrosus",28
"MiFish.0721.2Brn.Up.1.1","Dicamptodon tenebrosus",46370
"MiFish.0721.2Brn.Up.1.1","Ascaphus truei",9842
"MiFish.0721.2Brn.Up.1.1","Turdus migratorius",220
"MiFish.0721.2Brn.Up.1.1","Homo sapiens",4
"MiFish.0721.2Brn.Up.2.1","Dicamptodon tenebrosus",48402
"MiFish.0721.2Brn.Up.2.1","Ascaphus truei",8133
"MiFish.0721.2Brn.Up.2.1","Turdus migratorius",212
"MiFish.0721.4Pad.Dn.2.1","Oncorhynchus clarkii",6535
"MiFish.0721.4Pad.Dn.2.1","Oncorhynchus kisutch",229
"MiFish.0721.4Pad.Dn.2.1","Gasterosteus aculeatus",56375
"MiFish.0721.4Pad.Dn.2.1","Oncorhynchus mykiss",24863
"MiFish.0721.4Pad.Dn.2.1","Lepomis gibbosus",287
"MiFish.0721.4Pad.Dn.3.1","Oncorhynchus clarkii",3079
"MiFish.0721.4Pad.Dn.3.1","Oncorhynchus kisutch",87
"MiFish.0721.4Pad.Dn.3.1","Gasterosteus aculeatus",39926
"MiFish.0721.4Pad.Dn.3.1","Oncorhynchus mykiss",14752
"MiFish.0721.4Pad.Dn.3.1","Homo sapiens",10
"MiFish.0721.4Pad.Dn.3.1","Lepomis gibbosus",169
"MiFish.0721.5Sqm.Dn.2.1","Oncorhynchus clarkii",76838
"MiFish.0721.5Sqm.Dn.2.1","Oncorhynchus kisutch",27979
